model,dataset,f1,precision,recall
LLaVA-v1.6-Vicuna-7B,Fakeddit,0.404,0.576,0.525
LLaVA-v1.6-Vicuna-7B,IFND,0.426,0.487,0.487
LLaVA-v1.6-Vicuna-7B,MMFakeBench,0.514,0.520,0.516
LLaVA-v1.6-Vicuna-7B,Weibo,0.479,0.670,0.558
LLaVA-v1.6-Vicuna-7B,DriftBench,0.265,0.461,0.427
Qwen-VL with Qwen-7B,Fakeddit,0.326,0.486,0.499
Qwen-VL with Qwen-7B,IFND,0.273,0.504,0.500
Qwen-VL with Qwen-7B,MMFakeBench,0.415,0.528,0.500
Qwen-VL with Qwen-7B,Weibo,0.352,0.592,0.503
Qwen-VL with Qwen-7B,DriftBench,0.103,0.557,0.500
Otter-Image-MPT-7B,Fakeddit,0.436,0.457,0.472
Otter-Image-MPT-7B,IFND,0.530,0.520,0.540
Otter-Image-MPT-7B,MMFakeBench,0.307,0.433,0.461
Otter-Image-MPT-7B,Weibo,0.381,0.524,0.506
Otter-Image-MPT-7B,DriftBench,0.504,0.505,0.560
MiniGPT-4 with Vicuna-7B,Fakeddit,0.466,0.523,0.517
MiniGPT-4 with Vicuna-7B,IFND,0.378,0.513,0.508
MiniGPT-4 with Vicuna-7B,MMFakeBench,0.441,0.440,0.460
MiniGPT-4 with Vicuna-7B,Weibo,0.547,0.551,0.550
MiniGPT-4 with Vicuna-7B,DriftBench,0.228,0.476,0.466
BLIP-2 Flan-T5-XL,Fakeddit,0.308,0.222,0.500
BLIP-2 Flan-T5-XL,IFND,0.250,0.167,0.500
BLIP-2 Flan-T5-XL,MMFakeBench,0.412,0.350,0.500
BLIP-2 Flan-T5-XL,Weibo,0.340,0.258,0.500
BLIP-2 Flan-T5-XL,DriftBench,0.102,0.057,0.500
InstructBLIP-Vicuna-7B,Fakeddit,0.409,0.501,0.502
InstructBLIP-Vicuna-7B,IFND,0.548,0.550,0.560
InstructBLIP-Vicuna-7B,MMFakeBench,0.278,0.512,0.503
InstructBLIP-Vicuna-7B,Weibo,0.457,0.536,0.520
InstructBLIP-Vicuna-7B,DriftBench,0.489,0.494,0.497
